gvkey,year,uai,conm,keyword
23810,2012,0.3390751,ION GEOPHYSICAL CORP,ION GEOPHYSICAL
24216,2012,0.6730769,AES CORP,AES CORP
24344,2012,0.5619927,VERTEX PHARMACEUTICALS INC,VERTEX PHARMACEUTICALS INC
24352,2012,0.3459821,PROGRESS SOFTWARE CORP,PROGRESS SOFTWARE S.L.U.
24428,2012,0.3235159,ADDVANTAGE TECHNOLOGIES GP,ADVANTAGE TECHNOLOGIES 
24978,2012,0.3379112,CALLAWAY GOLF CO,CALLAWAY GOLF 
25021,2012,0.3312687,VALASSIS COMMUNICATIONS INC,VALASSIS 
25140,2012,0.6651765,HF FINANCIAL CORP,HF FINANCIAL CORP
27875,2012,0.6169594,EQUITY LIFESTYLE PROPERTIES,EQUITY LIFESTYLE PROPERTIES
28176,2012,0.5518097,APTARGROUP INC,APTARGROUP INC
28397,2012,0.5928571,PAPA JOHNS INTERNATIONAL INC,PAPA JOHNS INTERNATIONAL
28462,2012,0.3248627,LIBBEY INC,LIBBEY INC
28518,2012,0.6986607,SHILOH INDUSTRIES INC,SHILOH INDUSTRIES 
28590,2012,0.604971,BRINKS CO,BRINKS CO
28641,2012,0.559182,KEY TECHNOLOGY INC,KEY TECHNOLOGY INC
29028,2012,0.5908897,COSTCO WHOLESALE CORP,COSTCO WHOLESALE
29150,2012,0.3550397,URBAN OUTFITTERS INC,URBAN OUTFITTERS
29268,2012,0.3200002,WEST MARINE INC,WEST MARINE
29446,2012,0.5745038,SOUTHWEST BANCORP INC,SOUTHWEST BANK
29517,2012,0.3222005,MEDIFAST INC,MEDIFAST INC
29613,2012,0.5796059,CASCADE BANCORP,CASCADE BANK
29751,2012,0.4151786,ALBEMARLE CORP,ALBEMARLE CORP
29755,2012,0.3526623,BEAZER HOMES USA INC,BEAZER HOMES
29942,2012,0.6284722,RALCORP HOLDINGS INC,RALCORP HOLDINGS INC
30059,2012,0.3390751,AMERN EAGLE OUTFITTERS INC,AMERICAN EAGLE OUTFITTERS
31037,2012,0.4166666,ASSISTED LIVING CONCEPTS INC,ASSISTED LIVING CONCEPTS LLC
31392,2012,0.3325893,PANTRY INC,PANTRY INC
31673,2012,0.3382894,AMERISOURCEBERGEN CORP,AMERISOURCE BERGEN
31775,2012,0.4464286,IMAGE SENSING SYSTEMS INC,IMAGE SENSING SYSTEMS INC
31887,2012,0.3156891,RESMED INC,RESMED 
61181,2012,0.671131,INTEGRA LIFESCIENCES HLDGS,INTEGRA LIFESCIENCES
61439,2012,0.5765542,RADISYS CORP,RADISYS 
61557,2012,0.5753829,ADVENT SOFTWARE INC,ADVENT SOFTWARE
61562,2012,0.31578,ADVANCED ENERGY INDS INC,ADVANCED ENERGY
61839,2012,0.3181469,AMERIGAS PARTNERS  -LP,AMERIGAS
62016,2012,0.4094466,DIGITAL GENERATION INC,DIGITAL GENERATION INC
62168,2012,0.3205859,IRIDEX CORP,IRIDEX 
62213,2012,0.3821382,USA TECHNOLOGIES INC,USA TECHNOLOGIES INC
62516,2012,0.5546798,CENTURY ALUMINUM CO,CENTURY ALUMINUM CO
62766,2012,0.3291683,HUDSON VALLEY HOLDING CORP,HUDSON VALLEY BANK
62979,2012,0.322327,SOUTHSIDE BANCSHARES INC,SOUTHSIDE BANCSHARES INC
63288,2012,0.3265449,FBL FINANCIAL GROUP INC-CL A,FBL FINANCIAL
63724,2012,0.3294493,NAVIGANT CONSULTING INC,NAVIGANT CONSULTING INC
63798,2012,0.3164921,AMERITYRE CORP,AMERI
63874,2012,0.6219246,STAGE STORES INC,STAGE STORES INC
