gvkey,year,uai,conm,keyword
24216,2012,0.6730769,AES CORP,AES Corporation
24344,2012,0.5619927,VERTEX PHARMACEUTICALS INC,VERTEX PHARMACEUTICALS
24352,2012,0.3459821,PROGRESS SOFTWARE CORP,PROGRESS SOFTWARE
24978,2012,0.3379112,CALLAWAY GOLF CO,CALLAWAY GOLF 
25021,2012,0.3312687,VALASSIS COMMUNICATIONS INC,VALASSIS 
25140,2012,0.6651765,HF FINANCIAL CORP,HF FINANCIAL CORP
25140,2012,0.6651765,HF FINANCIAL CORP,Home Federal Bank
27875,2012,0.6169594,EQUITY LIFESTYLE PROPERTIES,EQUITY LIFESTYLE PROPERTIES
28176,2012,0.5518097,APTARGROUP INC,APTARGROUP INC.
28397,2012,0.5928571,PAPA JOHNS INTERNATIONAL INC,PAPA JOHNS INTERNATIONAL
28397,2012,0.5928571,PAPA JOHNS INTERNATIONAL INC,PAPA JOHNS
28462,2012,0.3248627,LIBBEY INC,LIBBEY INC
28518,2012,0.6986607,SHILOH INDUSTRIES INC,SHILOH INDUSTRIES 
28590,2012,0.604971,BRINKS CO,Brink's Company
28641,2012,0.559182,KEY TECHNOLOGY INC,KEY TECHNOLOGY
29028,2012,0.5908897,COSTCO WHOLESALE CORP,COSTCO WHOLESALE
29150,2012,0.3550397,URBAN OUTFITTERS INC,URBAN OUTFITTERS
29268,2012,0.3200002,WEST MARINE INC,WEST MARINE
29446,2012,0.5745038,SOUTHWEST BANCORP INC,SOUTHWEST BANK
29517,2012,0.3222005,MEDIFAST INC,MEDIFAST INC
29613,2012,0.5796059,CASCADE BANCORP,CASCADE BANK
29755,2012,0.3526623,BEAZER HOMES USA INC,BEAZER HOMES
30059,2012,0.3390751,AMERN EAGLE OUTFITTERS INC,AMERICAN EAGLE OUTFITTERS
31392,2012,0.3325893,PANTRY INC,PANTRY INC
31673,2012,0.3382894,AMERISOURCEBERGEN CORP,AMERISOURCEBERGEN
31775,2012,0.4464286,IMAGE SENSING SYSTEMS INC,IMAGE SENSING SYSTEMS INC
31887,2012,0.3156891,RESMED INC,RESMED 
61181,2012,0.671131,INTEGRA LIFESCIENCES HLDGS,Integra LifeSciences
61439,2012,0.5765542,RADISYS CORP,RADISYS 
61557,2012,0.5753829,ADVENT SOFTWARE INC,ADVENT SOFTWARE
61562,2012,0.31578,ADVANCED ENERGY INDS INC,ADVANCED ENERGY
61839,2012,0.3181469,AMERIGAS PARTNERS  -LP,AMERIGAS
62168,2012,0.3205859,IRIDEX CORP,IRIDEX 
62213,2012,0.3821382,USA TECHNOLOGIES INC,USA TECHNOLOGIES
62516,2012,0.5546798,CENTURY ALUMINUM CO,CENTURY ALUMINUM 
62766,2012,0.3291683,HUDSON VALLEY HOLDING CORP,HUDSON VALLEY BANK
62979,2012,0.322327,SOUTHSIDE BANCSHARES INC,SOUTHSIDE BANK
63288,2012,0.3265449,FBL FINANCIAL GROUP INC-CL A,Farm Bureau financial services
63724,2012,0.3294493,NAVIGANT CONSULTING INC,NAVIGANT 
63798,2012,0.3164921,AMERITYRE CORP,AMERITYRE
63874,2012,0.6219246,STAGE STORES INC,STAGE STORES INC
64030,2012,0.3343877,STEEL DYNAMICS INC,STEEL DYNAMICS INC
64175,2012,0.4895369,LITHIA MOTORS INC  -CL A,LITHIA MOTORS INC  
64175,2012,0.4895369,LITHIA MOTORS INC  -CL A,Lithia Auto Stores
64480,2012,0.3290857,ROVI CORP,ROVI Corporation
64550,2012,0.325716,ALTAIR NANOTECHNOLOGIES INC,ALTAIR NANOTECHNOLOGIES
64550,2012,0.325716,ALTAIR NANOTECHNOLOGIES INC,ALTAIRNANO
64584,2012,0.3395308,FIRST SOUTH BANCORP INC/VA,FIRST SOUTH BANK
64766,2012,0.3408857,RAMBUS INC,RAMBUS
64997,2012,0.3383788,COMFORT SYSTEMS USA INC,COMFORT SYSTEMS USA 
65009,2012,0.3453781,EXTERRAN HOLDINGS INC,EXTERRAN
65899,2012,0.6422576,REALNETWORKS INC,REALNETWORKS 
66379,2012,0.7286086,CAREER EDUCATION CORP,CAREER EDUCATION Corporation
66446,2012,0.3182709,QUANTA SERVICES INC,QUANTA SERVICES INC
66504,2012,0.4588393,COLONY BANKCORP INC,COLONY BANK
107817,2012,0.3178955,PEAPACK-GLADSTONE FINL CORP,PEAPACK-GLADSTONE BANK
108693,2012,0.5359898,JONES SODA CO,JONES SODA CO
110533,2012,0.3264962,SAUER-DANFOSS INC,DANFOSS
112968,2012,0.3144113,MANNATECH INC,MANNATECH INC
116504,2012,0.6723356,SELECT COMFORT CORP,SELECT COMFORT
118525,2012,0.3205388,ENTERPRISE BANCORP INC/MA,ENTERPRISE BANK
120358,2012,0.5119048,THESTREET INC,THESTREET 
122515,2012,0.5010945,VANTAGESOUTH BANCSHARES INC,VANTAGESOUTH BANK
125237,2012,0.3289529,MARTHA STEWART LIVING OMNIMD,MARTHA STEWART LIVING OMNIMD
126020,2012,0.3240546,INTELLICHECK MOBILISA INC,INTELLICHECK MOBILISA 
126136,2012,0.3236148,CHARTER COMMUNICATIONS INC,CHARTER COMMUNICATIONS 
126434,2012,0.6706339,RAINMAKER SYSTEMS INC,RAINMAKER SYSTEMS 
126496,2012,0.5944549,MANAGEMENT NETWORK GROUP INC,MANAGEMENT NETWORK GROUP
126496,2012,0.5944549,MANAGEMENT NETWORK GROUP INC,NMGI
126496,2012,0.5944549,MANAGEMENT NETWORK GROUP INC,NETWORK MANAGEMENT GROUP
127179,2012,0.6702041,HARRIS INTERACTIVE INC,HARRIS INTERACTIVE
133288,2012,0.3656781,SILICON LABORATORIES INC,SILICON LABS
133949,2012,0.6026785,QUALSTAR CORP,QUALSTAR CORP
136884,2012,0.3284751,DENDREON CORP,DENDREON 
138467,2012,0.5638745,LANTRONIX INC,LANTRONIX
140042,2012,0.5762649,VERMILLION INC,VERMILLION INC
140759,2012,0.3195232,IXIA,IXIA
142814,2012,0.4070986,SYNAPTICS INC,SYNAPTICS INC
146114,2012,0.3376303,MCG CAPITAL CORP,MCG CAPITAL
150699,2012,0.4038388,CIMAREX ENERGY CO,Cimarex Energy
151632,2012,0.7281834,WARREN RESOURCES INC,WARREN RESOURCES INC
155394,2012,0.6215359,LKQ CORP,LKQ CORP
156383,2012,0.7050439,AMERICAN EQTY INVT LIFE HLDG,AMERICAN equity investment life
158414,2012,0.3644068,SIMPLICITY BANCORP INC,SIMPLICITY BANK
160281,2012,0.6805198,ACTIVE NETWORK INC,ACTIVE NETWORK 
160376,2012,0.32129,TEXAS ROADHOUSE INC,TEXAS ROADHOUSE 
162219,2012,0.3253949,NGP CAPITAL RESOURCES CO,NGP CAPITAL RESOURCES CO
162254,2012,0.5830959,CELANESE CORP,CELANESE
163889,2012,0.5442663,ATRICURE INC,ATRICURE INC
163939,2012,0.3182428,ALON USA ENERGY INC,ALON USA
164660,2012,0.3125,CLEAR CHANNEL OUTDOOR HLDGS,CLEAR CHANNEL OUTDOOR
165123,2012,0.5006868,LEIDOS HOLDINGS INC,LEIDOS
166555,2012,0.3357079,ALPHATEC HOLDINGS INC,ALPHATEC 
166591,2012,0.7087448,CLEVELAND BIOLABS INC,CLEVELAND BIOLABS
174313,2012,0.3217593,VIEWPOINT FINANCIAL GROUP,VIEWPOINT FINANCIAL 
175404,2012,0.315231,FIRST SOLAR INC,FIRST SOLAR
175834,2012,0.3233397,GLOBAL GEOPHYSICAL SVCS INC,GLOBAL GEOPHYSICAL Services
176572,2012,0.6645889,AVIAT NETWORKS INC,AVIAT NETWORKS 
176595,2012,0.6700307,FORTRESS INVESTMENT GRP LLC,FORTRESS INVESTMENT Group
177108,2012,0.3847957,CINEMARK HOLDINGS INC,CINEMARK 
177975,2012,0.3421148,ZAGG INC,ZAGG
178083,2012,0.5840336,VMWARE INC -CL A,VMWARE
178608,2012,0.5886843,PATRIOT COAL CORP,PATRIOT COAL CORP
178806,2012,0.3166516,LUMBER LIQUIDATORS HLDGS INC,LUMBER LIQUIDATORS
178846,2012,0.3236096,ENERGYSOLUTIONS INC,ENERGYSOLUTIONS
178851,2012,0.3636464,NUVERRA ENVIRONMENTAL SOLUTN,NUVERRA ENVIRONMENTAL SOLUTIONS
178972,2012,0.6931217,BG MEDICINE INC,BG MEDICINE 
179577,2012,0.3360171,COLFAX CORP,Colfax Corporation
179841,2012,0.5107653,CODEXIS INC,CODEXIS INC
180272,2012,0.3419509,LENDER PROCESSING SERVICES,LENDER PROCESSING SERVICES INC.
180905,2012,0.4901786,ROSETTA STONE INC,ROSETTA STONE
181104,2012,0.3408857,ALLSCRIPTS HEALTHCARE SOLTNS,ALLSCRIPTS
183101,2012,0.3379112,MYREXIS INC,MYREXIS INC
184109,2012,0.3125,DYNAVOX INC,Tobii Dynavox
184167,2012,0.4633205,FIRST INTERSTATE BANCSYSTEM,FIRST INTERSTATE BANK
184465,2012,0.6700386,AMPIO PHARMACEUTICALS INC,AMPIO PHARMACEUTICALS INC
184689,2012,0.7508309,GOLUB CAPITAL BDC INC,GOLUB CAPITAL
185112,2012,0.5903305,INPHI CORP,INPHI CORP
185125,2012,0.3158105,ELECTROMED INC,ELECTROMED INC
185227,2012,0.4661562,BODY CENTRAL CORP,BODY CENTRAL
185229,2012,0.4862765,BABCOCK & WILCOX CO,BABCOCK & WILCOX 
187653,2012,0.3156626,ZELTIQ AESTHETICS INC,ZELTIQ 
264391,2012,0.6788278,BLUE NILE INC,BLUE NILE 
